Platform,qtr,Forecast_3m
INSBU_Fixed_N3500 10G Fiber,Q3FY22,2179
INSBU_Fixed_N3500 10G Fiber,Q4FY21,1872
INSBU_Fixed_N3500 10G Fiber,Q4FY22,1801
INSBU_Fixed_N3K/9K 100G Fiber,Q1FY22,24998
INSBU_Fixed_N3K/9K 100G Fiber,Q2FY21,12925
INSBU_Fixed_N3K/9K 100G Fiber,Q2FY22,24824
INSBU_Fixed_N3K/9K 100G Fiber,Q3FY21,16711
INSBU_Fixed_N3K/9K 100G Fiber,Q3FY22,23661
INSBU_Fixed_N3K/9K 100G Fiber,Q4FY21,20746
INSBU_Fixed_N3K/9K 100G Fiber,Q4FY22,14399
INSBU_Fixed_N3K/9K 1G,Q1FY22,17322
INSBU_Fixed_N3K/9K 1G,Q2FY21,88248
INSBU_Fixed_N3K/9K 1G,Q2FY22,18885
INSBU_Fixed_N3K/9K 1G,Q3FY21,8325
INSBU_Fixed_N3K/9K 1G,Q3FY22,19297
INSBU_Fixed_N3K/9K 1G,Q4FY21,12613
INSBU_Fixed_N3K/9K 1G,Q4FY22,15442
INSBU_Fixed_N3k/9K 10/25G,Q1FY22,45603
INSBU_Fixed_N3k/9K 10/25G,Q2FY21,25001
INSBU_Fixed_N3k/9K 10/25G,Q2FY22,43158
INSBU_Fixed_N3k/9K 10/25G,Q3FY21,674995
INSBU_Fixed_N3k/9K 10/25G,Q3FY22,49418
INSBU_Fixed_N3k/9K 10/25G,Q4FY21,36644
INSBU_Fixed_N3k/9K 10/25G,Q4FY22,35182
INSBU_Fixed_N9300 10G Copper,Q1FY22,14280
INSBU_Fixed_N9300 10G Copper,Q2FY21,6764
INSBU_Fixed_N9300 10G Copper,Q2FY22,11685
INSBU_Fixed_N9300 10G Copper,Q3FY21,6771
INSBU_Fixed_N9300 10G Copper,Q3FY22,12556
INSBU_Fixed_N9300 10G Copper,Q4FY21,7197
INSBU_Fixed_N9300 10G Copper,Q4FY22,9295
INSBU_Modular_400,Q4FY22,290
INSBU_N3000 Modular,Q1FY22,23391
INSBU_N3000 Modular,Q2FY21,57575
INSBU_N3000 Modular,Q2FY22,273
INSBU_N3000 Modular,Q3FY21,2933
INSBU_N3000 Modular,Q3FY22,232
INSBU_N3000 Modular,Q4FY21,227
INSBU_N3000 Modular,Q4FY22,216
INSBU_N3K/9K 100G Fiber,Q1FY22,28
